Regional Agency for Environment Protection - Friuli Venezia Giulia Region (ARPA FVG) 
www.arpa.fvg.it 
Regional Center for Environmental Modelling (CRMA) 
via Cairoli, 14 - 33057 Palmanova (UD) ITALY 
Created on 2008-02-25 10:04:25 by FVG_DEM_Reader.r on 05ACEVER3194 Windows x86 machine 
Proj: UTM ; Datum: Rome Monte Mario 1940 ; Essipsoid: International 1924   Grid: 329 x 283 points ; Step 0.01 km ; Origin: ( 399.325 , 5058.618 ) km 
km;km;m
east;north;elevation
402.165;5058.618;-9999
402.175;5058.618;-9999
402.185;5058.618;-9999
402.195;5058.618;-9999
402.205;5058.618;-9999
402.215;5058.618;-9999
402.225;5058.618;-9999
402.235;5058.618;-9999
402.245;5058.618;-9999
402.255;5058.618;-9999
402.265;5058.618;-9999
402.275;5058.618;-9999
402.285;5058.618;-9999
402.295;5058.618;-9999
402.305;5058.618;-9999
402.315;5058.618;-9999
402.325;5058.618;-9999
402.335;5058.618;-9999
402.345;5058.618;-9999
402.355;5058.618;-9999
402.365;5058.618;-9999
402.375;5058.618;-9999
402.385;5058.618;-9999
402.395;5058.618;-9999
402.405;5058.618;-9999
402.415;5058.618;-9999
402.425;5058.618;-9999
402.435;5058.618;-9999
402.445;5058.618;-9999
402.455;5058.618;-9999
402.465;5058.618;-9999
402.475;5058.618;-9999
402.485;5058.618;-9999
402.495;5058.618;-9999
402.505;5058.618;-9999
402.515;5058.618;-9999
402.525;5058.618;-9999
402.535;5058.618;-9999
402.545;5058.618;-9999
402.555;5058.618;-9999
402.565;5058.618;-9999
402.575;5058.618;-9999
402.585;5058.618;-9999
402.595;5058.618;-9999
402.605;5058.618;-9999
399.325;5058.628;-9999
399.335;5058.628;-9999
399.345;5058.628;-9999
399.355;5058.628;-9999
399.365;5058.628;-9999
399.375;5058.628;-9999
399.385;5058.628;-9999
399.395;5058.628;-9999
399.405;5058.628;-9999
399.415;5058.628;-9999
399.425;5058.628;-9999
399.435;5058.628;-9999
399.445;5058.628;-9999
399.455;5058.628;-9999
399.465;5058.628;-9999
399.475;5058.628;-9999
399.485;5058.628;-9999
399.495;5058.628;-9999
399.505;5058.628;-9999
399.515;5058.628;-9999
399.525;5058.628;-9999
399.535;5058.628;-9999
399.545;5058.628;-9999
399.555;5058.628;-9999
399.565;5058.628;-9999
399.575;5058.628;-9999
399.585;5058.628;-9999
399.595;5058.628;-9999
399.605;5058.628;-9999
399.615;5058.628;-9999
399.625;5058.628;-9999
399.635;5058.628;-9999
399.645;5058.628;-9999
399.655;5058.628;-9999
399.665;5058.628;-9999
399.675;5058.628;-9999
399.685;5058.628;-9999
399.695;5058.628;-9999
399.705;5058.628;-9999
399.715;5058.628;-9999
399.725;5058.628;-9999
399.735;5058.628;-9999
399.745;5058.628;-9999
399.755;5058.628;-9999
399.765;5058.628;-9999
399.775;5058.628;-9999
399.785;5058.628;-9999
399.795;5058.628;-9999
399.805;5058.628;-9999
399.815;5058.628;-9999
399.825;5058.628;-9999
399.835;5058.628;-9999
399.845;5058.628;-9999
399.855;5058.628;-9999
399.865;5058.628;-9999
399.875;5058.628;-9999
399.885;5058.628;-9999
399.895;5058.628;-9999
399.905;5058.628;-9999
399.915;5058.628;-9999
399.925;5058.628;-9999
399.935;5058.628;-9999
399.945;5058.628;-9999
399.955;5058.628;-9999
399.965;5058.628;-9999
399.975;5058.628;-9999
399.985;5058.628;-9999
399.995;5058.628;-9999
400.005;5058.628;-9999
400.015;5058.628;-9999
400.025;5058.628;-9999
400.035;5058.628;-9999
400.045;5058.628;-9999
400.055;5058.628;-9999
400.065;5058.628;-9999
400.075;5058.628;-9999
400.085;5058.628;-9999
400.095;5058.628;-9999
400.105;5058.628;-9999
400.115;5058.628;-9999
400.125;5058.628;-9999
400.135;5058.628;-9999
400.145;5058.628;-9999
400.155;5058.628;-9999
400.165;5058.628;-9999
400.175;5058.628;-9999
400.185;5058.628;-9999
400.195;5058.628;-9999
400.205;5058.628;-9999
400.215;5058.628;-9999
400.225;5058.628;-9999
400.235;5058.628;-9999
400.245;5058.628;-9999
400.255;5058.628;-9999
400.265;5058.628;-9999
400.275;5058.628;-9999
400.285;5058.628;-9999
400.295;5058.628;-9999
400.305;5058.628;-9999
400.315;5058.628;-9999
400.325;5058.628;-9999
400.335;5058.628;-9999
400.345;5058.628;-9999
400.355;5058.628;-9999
400.365;5058.628;-9999
400.375;5058.628;-9999
400.385;5058.628;-9999
400.395;5058.628;-9999
400.405;5058.628;-9999
400.415;5058.628;-9999
400.425;5058.628;-9999
400.435;5058.628;-9999
400.445;5058.628;-9999
400.455;5058.628;-9999
400.465;5058.628;-9999
400.475;5058.628;-9999
400.485;5058.628;-9999
400.495;5058.628;-9999
400.505;5058.628;-9999
400.515;5058.628;-9999
400.525;5058.628;-9999
400.535;5058.628;-9999
400.545;5058.628;-9999
400.555;5058.628;-9999
400.565;5058.628;-9999
400.575;5058.628;-9999
400.585;5058.628;-9999
400.595;5058.628;-9999
400.605;5058.628;-9999
400.615;5058.628;-9999
400.625;5058.628;-9999
400.635;5058.628;-9999
400.645;5058.628;-9999
400.655;5058.628;-9999
400.665;5058.628;-9999
400.675;5058.628;-9999
400.685;5058.628;-9999
400.695;5058.628;-9999
400.705;5058.628;-9999
400.715;5058.628;-9999
400.725;5058.628;-9999
400.735;5058.628;-9999
400.745;5058.628;-9999
400.755;5058.628;-9999
400.765;5058.628;-9999
400.775;5058.628;-9999
400.785;5058.628;-9999
400.795;5058.628;-9999
400.805;5058.628;-9999
400.815;5058.628;-9999
400.825;5058.628;-9999
400.835;5058.628;-9999
400.845;5058.628;-9999
400.855;5058.628;-9999
400.865;5058.628;-9999
400.875;5058.628;-9999
400.885;5058.628;-9999
400.895;5058.628;-9999
400.905;5058.628;-9999
400.915;5058.628;-9999
400.925;5058.628;-9999
400.935;5058.628;-9999
400.945;5058.628;-9999
400.955;5058.628;-9999
400.965;5058.628;-9999
400.975;5058.628;-9999
400.985;5058.628;-9999
400.995;5058.628;-9999
401.005;5058.628;-9999
401.015;5058.628;-9999
401.025;5058.628;-9999
401.035;5058.628;-9999
401.045;5058.628;-9999
401.055;5058.628;-9999
401.065;5058.628;-9999
401.075;5058.628;-9999
401.085;5058.628;-9999
401.095;5058.628;-9999
401.105;5058.628;-9999
401.115;5058.628;-9999
401.125;5058.628;-9999
401.135;5058.628;-9999
401.145;5058.628;-9999
401.155;5058.628;-9999
401.165;5058.628;-9999
401.175;5058.628;-9999
401.185;5058.628;-9999
401.195;5058.628;-9999
401.205;5058.628;-9999
401.215;5058.628;-9999
401.225;5058.628;-9999
401.235;5058.628;-9999
401.245;5058.628;-9999
401.255;5058.628;-9999
401.265;5058.628;-9999
401.275;5058.628;-9999
401.285;5058.628;-9999
401.295;5058.628;-9999
401.305;5058.628;-9999
401.315;5058.628;-9999
401.325;5058.628;-9999
401.335;5058.628;-9999
401.345;5058.628;-9999
401.355;5058.628;-9999
401.365;5058.628;-9999
401.375;5058.628;-9999
401.385;5058.628;-9999
401.395;5058.628;-9999
401.405;5058.628;-9999
401.415;5058.628;-9999
401.425;5058.628;-9999
401.435;5058.628;-9999
401.445;5058.628;-9999
401.455;5058.628;-9999
401.465;5058.628;-9999
401.475;5058.628;-9999
401.485;5058.628;-9999
401.495;5058.628;-9999
401.505;5058.628;-9999
401.515;5058.628;-9999
401.525;5058.628;-9999
401.535;5058.628;-9999
401.545;5058.628;-9999
401.555;5058.628;-9999
401.565;5058.628;-9999
401.575;5058.628;-9999
401.585;5058.628;-9999
401.595;5058.628;-9999
401.605;5058.628;-9999
401.615;5058.628;-9999
401.625;5058.628;-9999
401.635;5058.628;-9999
401.645;5058.628;-9999
401.655;5058.628;-9999
401.665;5058.628;-9999
401.675;5058.628;-9999
401.685;5058.628;-9999
401.695;5058.628;-9999
401.705;5058.628;-9999
401.715;5058.628;-9999
401.725;5058.628;-9999
401.735;5058.628;-9999
401.745;5058.628;-9999
401.755;5058.628;-9999
401.765;5058.628;-9999
401.775;5058.628;-9999
401.785;5058.628;-9999
401.795;5058.628;-9999
401.805;5058.628;-9999
401.815;5058.628;-9999
401.825;5058.628;-9999
401.835;5058.628;-9999
401.845;5058.628;-9999
401.855;5058.628;-9999
401.865;5058.628;-9999
401.875;5058.628;-9999
401.885;5058.628;-9999
401.895;5058.628;-9999
401.905;5058.628;-9999
401.915;5058.628;-9999
401.925;5058.628;-9999
401.935;5058.628;-9999
401.945;5058.628;-9999
401.955;5058.628;-9999
401.965;5058.628;-9999
401.975;5058.628;-9999
401.985;5058.628;-9999
401.995;5058.628;-9999
402.005;5058.628;-9999
402.015;5058.628;-9999
402.025;5058.628;-9999
402.035;5058.628;-9999
402.045;5058.628;-9999
402.055;5058.628;-9999
402.065;5058.628;-9999
402.075;5058.628;-9999
402.085;5058.628;-9999
402.095;5058.628;-9999
402.105;5058.628;-9999
402.115;5058.628;-9999
402.125;5058.628;-9999
402.135;5058.628;-9999
402.145;5058.628;-9999
402.155;5058.628;-9999
402.165;5058.628;-9999
402.175;5058.628;-9999
402.185;5058.628;-9999
402.195;5058.628;-9999
402.205;5058.628;-9999
402.215;5058.628;-9999
402.225;5058.628;-9999
402.235;5058.628;-9999
402.245;5058.628;-9999
402.255;5058.628;-9999
402.265;5058.628;-9999
402.275;5058.628;-9999
402.285;5058.628;-9999
402.295;5058.628;-9999
402.305;5058.628;-9999
402.315;5058.628;-9999
402.325;5058.628;-9999
402.335;5058.628;-9999
402.345;5058.628;-9999
402.355;5058.628;-9999
402.365;5058.628;-9999
402.375;5058.628;-9999
402.385;5058.628;-9999
402.395;5058.628;-9999
402.405;5058.628;-9999
402.415;5058.628;-9999
402.425;5058.628;-9999
402.435;5058.628;-9999
402.445;5058.628;-9999
402.455;5058.628;-9999
402.465;5058.628;-9999
402.475;5058.628;-9999
402.485;5058.628;-9999
402.495;5058.628;-9999
402.505;5058.628;-9999
402.515;5058.628;-9999
402.525;5058.628;-9999
402.535;5058.628;-9999
402.545;5058.628;-9999
402.555;5058.628;-9999
402.565;5058.628;-9999
402.575;5058.628;-9999
402.585;5058.628;-9999
402.595;5058.628;-9999
402.605;5058.628;-9999
399.325;5058.638;-9999
399.335;5058.638;-9999
399.345;5058.638;-9999
399.355;5058.638;-9999
399.365;5058.638;-9999
399.375;5058.638;-9999
399.385;5058.638;-9999
399.395;5058.638;-9999
399.405;5058.638;-9999
399.415;5058.638;-9999
399.425;5058.638;-9999
399.435;5058.638;-9999
399.445;5058.638;-9999
399.455;5058.638;-9999
399.465;5058.638;-9999
399.475;5058.638;-9999
399.485;5058.638;-9999
399.495;5058.638;-9999
399.505;5058.638;-9999
399.515;5058.638;-9999
399.525;5058.638;-9999
399.535;5058.638;-9999
399.545;5058.638;-9999
399.555;5058.638;-9999
399.565;5058.638;-9999
399.575;5058.638;-9999
399.585;5058.638;-9999
399.595;5058.638;-9999
399.605;5058.638;-9999
399.615;5058.638;-9999
399.625;5058.638;-9999
399.635;5058.638;-9999
399.645;5058.638;-9999
399.655;5058.638;-9999
399.665;5058.638;-9999
399.675;5058.638;-9999
399.685;5058.638;-9999
399.695;5058.638;-9999
399.705;5058.638;-9999
399.715;5058.638;-9999
399.725;5058.638;-9999
399.735;5058.638;-9999
399.745;5058.638;-9999
399.755;5058.638;-9999
399.765;5058.638;-9999
399.775;5058.638;-9999
399.785;5058.638;-9999
399.795;5058.638;-9999
399.805;5058.638;-9999
399.815;5058.638;-9999
399.825;5058.638;-9999
